Country,Reference Year,Value
Iraq,2021,41190
"Iran, Islamic Republic of",2021,
Egypt,2021,100604
Djibouti,2021,974
Bahrain,2021,1504
Afghanistan,2021,33569
Djibouti,2022,988
Yemen,*Most recent data,30416
United Arab Emirates,*Most recent data,9365
Tunisia,*Most recent data,11936
Syrian Arab Republic,*Most recent data,22922
Sudan,*Most recent data,41139
Somalia,*Most recent data,15893
Saudi Arabia,*Most recent data,34111
Qatar,*Most recent data,2748
Pakistan,*Most recent data,231914
Oman,*Most recent data,4527
Occupied Palestinian territory,*Most recent data,5227
Morocco,*Most recent data,36313
Libya,*Most recent data,7680
Lebanon,*Most recent data,5642
Kuwait,*Most recent data,4628
Jordan,*Most recent data,11057
Iraq,*Most recent data,41190
"Iran, Islamic Republic of",*Most recent data,
Egypt,*Most recent data,100604
Djibouti,*Most recent data,988
Bahrain,*Most recent data,1504
Afghanistan,*Most recent data,33569
